Symbol,Name,Last Sale,Net Change,% Change,Market Cap
MEDP,"Medpace Holdings, Inc. Common Stock",$208.28,-4.13,-1.944%,"6,477,486,547"
MAT,"Mattel, Inc. Common Stock",$17.89,0.05,0.28%,"6,340,243,515"
REYN,Reynolds Consumer Products Inc. Common Stock,$29.93,-0.05,-0.167%,"6,281,189,354"
AMKR,"Amkor Technology, Inc. Common Stock",$25.47,1.49,6.214%,"6,239,504,437"
TXRH,"Texas Roadhouse, Inc. Common Stock",$93.20,2.25,2.474%,"6,236,454,793"
FYBR,"Frontier Communications Parent, Inc. Common Stock",$25.22,-0.26,-1.02%,"6,179,000,880"
CFLT,"Confluent, Inc. Class A Common Stock",$21.33,-0.91,-4.092%,"6,108,949,583"
NTNX,"Nutanix, Inc. Class A Common Stock",$26.30,0.25,0.96%,"6,051,908,675"
XM,Qualtrics International Inc. Class A Common Stock,$10.18,-0.20,-1.927%,"6,013,638,740"
COUP,Coupa Software Incorporated Common Stock,$78.66,-0.51,-0.644%,"5,990,021,456"
AGNC,AGNC Investment Corp. Common Stock,$10.46,0.11,1.063%,"5,979,161,319"
DSGX,Descartes Systems Group Inc. (The) Common Stock,$69.98,0.33,0.474%,"5,935,563,220"
GRFS,"Grifols, S.A. American Depositary Shares",$8.74,0.24,2.824%,"5,933,679,466"
CACC,Credit Acceptance Corporation Common Stock,$456.48,-17.92,-3.777%,"5,899,872,077"
LSTR,"Landstar System, Inc. Common Stock",$163.67,0.77,0.473%,"5,879,888,123"
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,$74.44,-1.91,-2.502%,"5,861,812,563"
WWD,"Woodward, Inc. Common Stock",$97.95,1.34,1.387%,"5,851,442,200"
SSB,SouthState Corporation Common Stock,$76.04,-0.32,-0.419%,"5,755,889,622"
VLY,Valley National Bancorp Common Stock,$11.29,-0.02,-0.177%,"5,716,767,448"
EXLS,"ExlService Holdings, Inc. Common Stock",$172.47,3.04,1.794%,"5,702,653,459"
ROKU,"Roku, Inc. Class A Common Stock",$40.56,-0.14,-0.344%,"5,648,771,569"
MKSI,"MKS Instruments, Inc. Common Stock",$84.67,-0.06,-0.071%,"5,631,128,216"
PPC,Pilgrim's Pride Corporation Common Stock,$23.80,0.07,0.295%,"5,627,970,887"
QDEL,QuidelOrtho Corporation Common Stock,$85.00,-0.67,-0.782%,"5,613,855,430"
ALGM,"Allegro MicroSystems, Inc. Common Stock",$29.32,-0.70,-2.332%,"5,609,154,694"
CHX,ChampionX Corporation Common Stock ,$27.93,-1.06,-3.656%,"5,568,117,929"
NWL,Newell Brands Inc. Common Stock,$13.46,0.38,2.905%,"5,567,056,000"
APLS,"Apellis Pharmaceuticals, Inc. Common Stock",$50.28,-1.43,-2.765%,"5,559,738,503"
LANC,Lancaster Colony Corporation Common Stock,$201.78,4.48,2.271%,"5,559,644,340"
KNBE,"KnowBe4, Inc. Class A Common Stock",$24.78,UNCH,--,"5,530,809,840"
SAIA,"Saia, Inc. Common Stock",$208.61,-1.07,-0.51%,"5,520,334,406"
LFUS,"Littelfuse, Inc. Common Stock",$222.97,2.77,1.258%,"5,519,751,896"
COLM,Columbia Sportswear Company Common Stock,$88.61,1.03,1.176%,"5,503,888,400"
CHRD,Chord Energy Corporation Common Stock,$131.77,-5.04,-3.684%,"5,482,449,501"
PNFP,"Pinnacle Financial Partners, Inc. Common Stock",$71.31,-2.09,-2.847%,"5,451,992,715"
LNW,"Light & Wonder, Inc. Common Stock",$58.12,-0.48,-0.819%,"5,444,308,993"
FSV,FirstService Corporation Common Shares,$123.13,0.58,0.473%,"5,444,061,324"
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,$8.74,0.04,0.46%,"5,425,018,117"
PDCE,"PDC Energy, Inc. Common Stock (Delaware)",$58.87,-4.61,-7.262%,"5,424,556,311"
UBSI,"United Bankshares, Inc. Common Stock",$40.14,-0.35,-0.864%,"5,405,210,815"
SIGI,"Selective Insurance Group, Inc. Common Stock",$89.67,1.06,1.196%,"5,404,874,494"
MNDY,monday.com Ltd. Ordinary Shares,$119.43,-2.57,-2.107%,"5,384,538,215"
OPCH,"Option Care Health, Inc. Common Stock",$29.50,-0.59,-1.961%,"5,366,077,435"
IONS,"Ionis Pharmaceuticals, Inc. Common Stock",$37.58,-0.19,-0.503%,"5,338,251,627"
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,$11.98,0.48,4.174%,"5,332,164,100"
FUTU,Futu Holdings Limited American Depositary Shares,$37.84,-2.81,-6.913%,"5,313,057,035"
EXEL,"Exelixis, Inc. Common Stock",$16.30,0.26,1.621%,"5,257,751,113"
ENSG,"The Ensign Group, Inc. Common Stock",$94.51,-0.10,-0.106%,"5,243,817,602"
ONB,Old National Bancorp Common Stock,$17.86,-0.12,-0.667%,"5,231,015,400"
ROIV,Roivant Sciences Ltd. Common Shares,$7.15,-0.84,-10.513%,"5,186,744,327"
CYBR,CyberArk Software Ltd. Ordinary Shares,$126.31,-3.34,-2.576%,"5,142,879,516"
HQY,"HealthEquity, Inc. Common Stock",$60.70,-0.94,-1.525%,"5,137,637,620"
IOSP,Innospec Inc. Common Stock,$103.54,0.68,0.661%,"5,128,309,694"
MDGL,"Madrigal Pharmaceuticals, Inc. Common Stock",$285.42,-4.83,-1.664%,"5,092,547,839"
WTFC,Wintrust Financial Corporation Common Stock,$83.69,-0.83,-0.982%,"5,085,445,697"
IQ,"iQIYI, Inc. American Depositary Shares",$5.88,0.58,10.943%,"5,064,297,294"
OLED,Universal Display Corporation Common Stock,$106.70,-1.34,-1.24%,"5,040,140,632"
EXPO,"Exponent, Inc. Common Stock",$99.19,0.10,0.101%,"5,022,805,935"
HTZ,"Hertz Global Holdings, Inc Common Stock",$15.02,-0.37,-2.404%,"5,015,961,548"
LHCG,LHC Group Common Stock,$160.90,-0.79,-0.489%,"4,993,210,022"
RUN,Sunrun Inc. Common Stock,$23.39,-0.63,-2.623%,"4,984,495,987"
DKNG,DraftKings Inc. Class A Common Stock,$11.05,-0.34,-2.985%,"4,959,772,997"
RXDX,"Prometheus Biosciences, Inc. Common Stock",$106.60,-3.40,-3.091%,"4,955,588,927"
UFPI,"UFP Industries, Inc. Common Stock",$79.66,0.41,0.517%,"4,910,044,365"
FIVN,"Five9, Inc. Common Stock",$69.54,1.68,2.476%,"4,902,945,099"
ITCI,Intra-Cellular Therapies Inc. Common Stock,$51.66,-1.26,-2.381%,"4,892,463,090"
HCP,"HashiCorp, Inc. Class A Common Stock",$25.92,-1.42,-5.194%,"4,872,135,848"
FFIN,"First Financial Bankshares, Inc. Common Stock",$34.07,-0.33,-0.959%,"4,859,801,561"
CERE,"Cerevel Therapeutics Holdings, Inc. Common Stock",$30.95,-0.59,-1.871%,"4,838,182,984"
COHR,Coherent Corp. Common Stock,$34.86,-0.24,-0.684%,"4,834,734,237"
NATI,National Instruments Corporation Common Stock,$36.97,0.07,0.19%,"4,827,118,887"
NOVT,Novanta Inc. Common Stock,$134.83,-1.04,-0.765%,"4,812,111,014"
WB,Weibo Corporation American Depositary Share,$20.17,1.05,5.492%,"4,771,452,958"
EEFT,"Euronet Worldwide, Inc. Common Stock",$96.14,1.76,1.865%,"4,767,955,335"
BPOP,"Popular, Inc. Common Stock",$65.57,-0.75,-1.131%,"4,766,573,906"
TSEM,Tower Semiconductor Ltd. Ordinary Shares,$43.06,-0.14,-0.324%,"4,715,165,120"
IPGP,IPG Photonics Corporation Common Stock,$96.49,1.82,1.922%,"4,700,448,500"
WEN,Wendy's Company (The) Common Stock,$22.00,-0.63,-2.784%,"4,686,593,604"
SRCL,"Stericycle, Inc. Common Stock",$50.74,0.85,1.704%,"4,677,427,272"
IART,Integra LifeSciences Holdings Corporation Common Stock,$55.71,-0.36,-0.642%,"4,652,796,861"
OZK,Bank OZK Common Stock,$39.30,-0.76,-1.897%,"4,620,172,020"
SPSC,"SPS Commerce, Inc. Common Stock",$128.01,-0.42,-0.327%,"4,613,699,809"
DRVN,Driven Brands Holdings Inc. Common Stock,$27.46,0.15,0.549%,"4,596,915,131"
DLO,DLocal Limited Class A Common Shares,$15.37,-0.20,-1.285%,"4,549,290,849"
PENN,"PENN Entertainment, Inc. Common Stock",$29.27,-0.43,-1.448%,"4,540,294,435"
GDS,GDS Holdings Limited ADS,$23.74,3.12,15.131%,"4,523,754,904"
RCM,R1 RCM Inc. Common Stock,$10.73,-0.22,-2.009%,"4,469,161,506"
COKE,"Coca-Cola Consolidated, Inc. Common Stock",$476.66,-35.70,-6.968%,"4,468,062,599"
SLAB,"Silicon Laboratories, Inc. Common Stock",$134.05,-1.62,-1.194%,"4,461,572,477"
WIX,Wix.com Ltd. Ordinary Shares,$75.51,-1.32,-1.718%,"4,438,980,848"
SMCI,"Super Micro Computer, Inc. Common Stock",$83.86,1.76,2.144%,"4,438,113,220"
ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock",$38.51,-2.05,-5.054%,"4,382,951,800"
MTSI,"MACOM Technology Solutions Holdings, Inc. Common Stock",$61.57,-1.41,-2.239%,"4,351,054,743"
FIZZ,National Beverage Corp. Common Stock,$46.55,0.02,0.043%,"4,345,579,636"
FRSH,Freshworks Inc. Class A Common Stock,$14.83,0.12,0.816%,"4,269,806,886"
TENB,"Tenable Holdings, Inc. Common Stock",$37.90,-0.25,-0.655%,"4,264,284,428"
ALKS,Alkermes plc Ordinary Shares,$25.87,-0.26,-0.995%,"4,250,760,650"
PYCR,"Paycor HCM, Inc. Common Stock",$24.17,-0.30,-1.226%,"4,250,439,375"
QLYS,"Qualys, Inc. Common Stock",$111.51,-0.72,-0.642%,"4,236,045,114"
CYTK,"Cytokinetics, Incorporated Common Stock",$44.35,-1.47,-3.208%,"4,196,884,894"
NTRA,"Natera, Inc. Common Stock",$38.49,-1.68,-4.182%,"4,196,675,205"
PINC,"Premier, Inc. Class A Common Stock",$35.27,0.29,0.829%,"4,188,739,902"
SLM,SLM Corporation Common Stock,$16.53,-0.07,-0.422%,"4,135,753,600"
HWC,Hancock Whitney Corporation Common Stock,$47.94,-0.45,-0.93%,"4,108,136,946"
ESGR,Enstar Group Limited Ordinary Shares,$233.35,2.31,1.00%,"4,104,292,576"
POWI,"Power Integrations, Inc. Common Stock",$71.66,-0.06,-0.084%,"4,098,798,648"
FCFS,"FirstCash Holdings, Inc. Common Stock",$88.00,1.09,1.254%,"4,075,989,720"
CWST,"Casella Waste Systems, Inc. Class A Common Stock",$78.84,-0.47,-0.593%,"4,074,471,147"
AZTA,"Azenta, Inc.",$58.94,0.72,1.237%,"4,070,045,589"
FIBK,"First Interstate BancSystem, Inc. Class A Common Stock",$38.91,0.26,0.673%,"4,064,060,435"
BL,"BlackLine, Inc. Common Stock",$67.84,0.57,0.847%,"4,055,263,064"
TFSL,TFS Financial Corporation Common Stock,$14.43,0.02,0.139%,"4,046,283,703"
TXG,"10x Genomics, Inc. Class A Common Stock",$35.33,-1.11,-3.046%,"4,043,996,197"
LYFT,"Lyft, Inc. Class A Common Stock",$11.12,0.10,0.907%,"4,013,595,087"
WING,Wingstop Inc. Common Stock,$133.44,-4.18,-3.037%,"3,992,041,747"
UMBF,UMB Financial Corporation Common Stock,$82.56,-0.96,-1.149%,"3,988,663,736"
APP,Applovin Corporation Class A Common Stock,$10.73,0.20,1.899%,"3,988,229,955"
CRUS,"Cirrus Logic, Inc. Common Stock",$72.40,-2.08,-2.793%,"3,986,387,512"
AAON,"AAON, Inc. Common Stock",$74.83,-0.49,-0.651%,"3,980,921,354"
IAC,IAC Inc. Common Stock,$44.76,0.36,0.811%,"3,977,211,435"
CIGI,Colliers International Group Inc. Subordinate Voting Shares,$92.57,0.53,0.576%,"3,973,385,998"
ASO,"Academy Sports and Outdoors, Inc. Common Stock",$50.78,-1.76,-3.35%,"3,968,197,667"
MMSI,"Merit Medical Systems, Inc. Common Stock",$69.60,-1.02,-1.444%,"3,961,590,588"
ACT,"Enact Holdings, Inc. Common Stock",$24.19,0.07,0.29%,"3,939,162,833"
BCPC,Balchem Corporation Common Stock,$121.77,-0.34,-0.278%,"3,913,093,806"
AIMC,Altra Industrial Motion Corp. Common Stock,$59.68,-0.07,-0.117%,"3,889,574,831"
FOXF,Fox Factory Holding Corp. Common Stock,$91.73,0.50,0.548%,"3,877,194,381"
ICUI,"ICU Medical, Inc. Common Stock",$159.81,2.33,1.48%,"3,832,497,578"
SMPL,The Simply Good Foods Company Common Stock,$37.47,-0.56,-1.473%,"3,816,561,444"
AVT,"Avnet, Inc. Common Stock",$41.59,0.01,0.024%,"3,806,204,382"
UMPQ,Umpqua Holdings Corporation Common Stock,$17.38,-0.47,-2.633%,"3,772,386,736"
VIRT,"Virtu Financial, Inc. Class A Common Stock",$20.69,0.28,1.372%,"3,769,591,025"
APPF,"AppFolio, Inc. Class A Common Stock",$107.17,1.79,1.699%,"3,768,217,981"
INDB,Independent Bank Corp. Common Stock,$82.51,-1.92,-2.274%,"3,765,941,635"
RMBS,Rambus Inc. Common Stock,$35.02,-0.80,-2.233%,"3,764,019,990"
DNLI,Denali Therapeutics Inc. Common Stock,$27.63,-0.18,-0.647%,"3,752,531,647"
ZD,"Ziff Davis, Inc. Common Stock",$79.40,0.30,0.379%,"3,747,010,182"
SYNH,"Syneos Health, Inc. Class A Common Stock",$36.33,-0.35,-0.954%,"3,738,503,192"
PCVX,"Vaxcyte, Inc. Common Stock",$47.20,-0.75,-1.564%,"3,727,865,251"
VC,Visteon Corporation Common Stock,$132.32,1.49,1.139%,"3,723,853,840"
PECO,"Phillips Edison & Company, Inc. Common Stock",$31.74,-0.10,-0.314%,"3,716,754,000"
ALTR,Altair Engineering Inc. Class A Common Stock,$46.35,0.88,1.935%,"3,714,601,074"
FELE,"Franklin Electric Co., Inc. Common Stock",$79.81,0.06,0.075%,"3,696,682,278"
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,$92.58,-2.58,-2.711%,"3,691,254,495"
SOFI,"SoFi Technologies, Inc. Common Stock  ",$4.50,-0.11,-2.386%,"3,650,146,754"
NVEI,Nuvei Corporation Subordinate Voting Shares,$25.52,0.11,0.433%,"3,648,015,479"
PAAS,Pan American Silver Corp. Common Stock,$17.17,0.83,5.08%,"3,617,514,042"
LITE,Lumentum Holdings Inc. Common Stock,$52.74,0.57,1.093%,"3,596,868,000"
ABCM,Abcam plc American Depositary Shares,$15.61,0.05,0.321%,"3,578,934,468"
UCBI,"United Community Banks, Inc. Common Stock",$33.70,-0.10,-0.296%,"3,577,923,237"
NSIT,"Insight Enterprises, Inc. Common Stock",$102.20,1.93,1.925%,"3,559,744,041"
PCH,PotlatchDeltic Corporation Common Stock,$43.90,-0.09,-0.205%,"3,546,092,740"
NWE,NorthWestern Corporation Common Stock,$59.79,0.45,0.758%,"3,538,877,127"
CVBF,CVB Financial Corporation Common Stock,$25.26,-0.49,-1.903%,"3,531,550,105"
BHF,"Brighthouse Financial, Inc. Common Stock",$51.04,-0.23,-0.449%,"3,528,379,531"
LNTH,"Lantheus Holdings, Inc. Common Stock",$50.67,-0.29,-0.569%,"3,487,721,899"
DIOD,Diodes Incorporated Common Stock,$76.12,-0.02,-0.026%,"3,461,154,554"
BECN,"Beacon Roofing Supply, Inc. Common Stock",$52.85,0.06,0.114%,"3,438,523,740"
FRHC,Freedom Holding Corp. Common Stock,$57.66,-0.56,-0.962%,"3,433,203,944"
WFRD,Weatherford International plc Ordinary Shares,$48.40,-2.52,-4.949%,"3,417,458,128"
PTEN,"Patterson-UTI Energy, Inc. Common Stock",$15.70,-1.14,-6.77%,"3,404,101,161"
ONEM,"1Life Healthcare, Inc. Common Stock",$16.58,-0.13,-0.778%,"3,388,129,184"
OLPX,"Olaplex Holdings, Inc. Common Stock",$5.18,-0.03,-0.576%,"3,362,759,310"
FOLD,"Amicus Therapeutics, Inc. Common Stock",$11.93,-0.28,-2.293%,"3,351,676,797"
SSRM,SSR Mining Inc. Common Stock,$16.21,0.54,3.446%,"3,349,115,064"
QFIN,"360 DigiTech, Inc. American Depositary Shares",$20.90,0.54,2.652%,"3,332,428,736"
FHB,"First Hawaiian, Inc. Common Stock",$26.06,0.02,0.077%,"3,327,356,019"
LOPE,"Grand Canyon Education, Inc. Common Stock",$106.78,1.12,1.06%,"3,325,896,735"
VIR,"Vir Biotechnology, Inc. Common Stock",$24.92,-0.39,-1.541%,"3,317,241,275"
NEOG,Neogen Corporation Common Stock,$15.26,0.03,0.197%,"3,297,803,136"
SFM,"Sprouts Farmers Market, Inc. Common Stock",$30.92,-1.45,-4.479%,"3,272,958,372"
SANM,Sanmina Corporation Common Stock,$56.77,-0.52,-0.908%,"3,260,285,034"
NARI,"Inari Medical, Inc. Common Stock",$60.74,-2.82,-4.437%,"3,258,874,109"
GLBE,Global-E Online Ltd. Ordinary Shares,$20.75,0.11,0.533%,"3,246,742,540"
SGRY,"Surgery Partners, Inc. Common Stock",$26.30,-1.56,-5.599%,"3,224,477,179"
ABCB,Ameris Bancorp Common Stock,$46.30,-0.84,-1.782%,"3,210,984,127"
CRSP,CRISPR Therapeutics AG Common Shares,$41.00,0.35,0.861%,"3,210,059,699"
MQ,"Marqeta, Inc. Class A Common Stock",$5.87,-0.24,-3.928%,"3,199,752,350"
AEIS,"Advanced Energy Industries, Inc. Common Stock",$85.54,-0.24,-0.28%,"3,197,751,657"
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$45.52,-0.81,-1.748%,"3,191,209,370"
AXSM,"Axsome Therapeutics, Inc. Common Stock",$73.32,-3.81,-4.94%,"3,184,006,198"
BLKB,"Blackbaud, Inc. Common Stock",$59.87,1.01,1.716%,"3,178,942,954"
SPT,"Sprout Social, Inc Class A Common Stock",$57.93,1.47,2.604%,"3,176,783,356"
TWKS,"Thoughtworks Holding, Inc. Common Stock",$10.07,-0.12,-1.178%,"3,170,426,585"
HRMY,"Harmony Biosciences Holdings, Inc. Common Stock",$52.96,-2.14,-3.884%,"3,141,457,660"
EYE,"National Vision Holdings, Inc. Common Stock",$39.68,0.92,2.374%,"3,131,246,373"
PLTK,Playtika Holding Corp. Common Stock,$8.63,0.12,1.41%,"3,116,503,796"
IPAR,"Inter Parfums, Inc. Common Stock",$97.44,0.92,0.953%,"3,105,960,900"
AMBA,"Ambarella, Inc. Ordinary Shares",$79.49,-2.74,-3.332%,"3,080,782,881"
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,$63.53,1.69,2.733%,"3,066,667,938"
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$26.32,0.42,1.622%,"3,054,570,916"
EBC,"Eastern Bankshares, Inc. Common Stock",$17.19,-0.06,-0.348%,"3,037,103,484"
RUSHB,"Rush Enterprises, Inc. Class B",$55.13,-1.14,-2.026%,"3,001,103,982"
SPWR,SunPower Corporation Common Stock,$17.17,-0.86,-4.77%,"2,990,713,697"
NTLA,"Intellia Therapeutics, Inc. Common Stock",$34.65,-0.24,-0.688%,"2,987,411,774"
TWNK,"Hostess Brands, Inc. Class A Common Stock",$22.28,-0.16,-0.713%,"2,982,996,500"
CATY,Cathay General Bancorp Common Stock,$40.08,-0.71,-1.741%,"2,982,504,783"
NWTN,NWTN Inc. Class B Ordinary Shares,$10.43,-0.30,-2.796%,"2,980,497,806"
PPBI,Pacific Premier Bancorp Inc,$31.17,-0.39,-1.236%,"2,961,526,440"
AXNX,"Axonics, Inc. Common Stock",$59.64,-2.89,-4.622%,"2,953,967,470"
LIVN,LivaNova PLC Ordinary Shares,$55.19,-0.35,-0.63%,"2,953,917,979"
TCBI,"Texas Capital Bancshares, Inc. Common Stock",$59.14,-1.17,-1.94%,"2,951,039,339"
NCNO,"nCino, Inc. Common Stock",$26.43,-0.01,-0.038%,"2,934,642,443"
INMD,InMode Ltd. Ordinary Shares,$35.26,-0.44,-1.232%,"2,929,438,881"
GLPG,Galapagos NV American Depositary Shares,$44.35,-0.03,-0.068%,"2,919,804,913"
CD,Chindata Group Holdings Limited American Depositary Shares,$7.94,-0.03,-0.376%,"2,913,024,739"
SBRA,"Sabra Health Care REIT, Inc. Common Stock",$12.61,0.18,1.448%,"2,912,615,002"
JJSF,J & J Snack Foods Corp. Common Stock,$151.48,1.77,1.182%,"2,911,602,079"
OLLI,"Ollie's Bargain Outlet Holdings, Inc. Common Stock",$46.77,-0.07,-0.149%,"2,910,918,638"
EVO,Evotec SE American Depositary Shares,$8.15,0.06,0.742%,"2,884,328,244"
GT,The Goodyear Tire & Rubber Company Common Stock,$10.19,0.04,0.394%,"2,882,353,773"
MMYT,MakeMyTrip Limited Ordinary Shares,$27.37,-0.20,-0.725%,"2,881,348,066"
PLXS,Plexus Corp. Common Stock,$103.87,0.94,0.913%,"2,871,957,097"
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$101.25,0.45,0.446%,"2,871,875,048"
SRAD,Sportradar Group AG Class A Ordinary Shares,$9.71,-0.25,-2.51%,"2,870,661,458"
ARRY,"Array Technologies, Inc. Common Stock",$19.05,-0.28,-1.449%,"2,866,844,349"
BANF,BancFirst Corporation Common Stock,$87.17,-1.01,-1.145%,"2,865,327,238"
TNDM,"Tandem Diabetes Care, Inc. Common Stock",$44.56,-0.39,-0.868%,"2,865,153,860"
PI,"Impinj, Inc. Common Stock",$110.26,1.08,0.989%,"2,857,387,679"
DUOL,"Duolingo, Inc. Class A Common Stock",$70.93,-0.20,-0.281%,"2,849,239,445"
COOP,Mr. Cooper Group Inc. Common Stock,$40.36,0.23,0.573%,"2,847,992,422"
CVLT,"Commvault Systems, Inc. Common Stock",$63.91,1.07,1.703%,"2,846,042,549"
PEGA,Pegasystems Inc. Common Stock,$34.61,0.37,1.081%,"2,844,629,022"
PGNY,"Progyny, Inc. Common Stock",$30.59,-0.56,-1.798%,"2,841,298,373"
HCM,HUTCHMED (China) Limited American Depositary Shares,$16.38,1.60,10.825%,"2,833,004,014"
IRTC,"iRhythm Technologies, Inc. Common Stock",$94.08,0.41,0.438%,"2,832,831,402"
FULT,Fulton Financial Corporation Common Stock,$16.86,0.03,0.178%,"2,823,954,926"
RUSHA,"Rush Enterprises, Inc. Common Stock Cl A",$51.72,-0.56,-1.071%,"2,815,474,296"
IBOC,International Bancshares Corporation Common Stock,$45.15,-0.61,-1.333%,"2,804,438,341"
PSEC,Prospect Capital Corporation Common Stock,$7.03,0.04,0.572%,"2,795,285,992"
PZZA,"Papa John's International, Inc. Common Stock",$79.11,-3.20,-3.888%,"2,794,810,184"
GO,Grocery Outlet Holding Corp. Common Stock,$28.69,-0.50,-1.713%,"2,790,933,850"
PTCT,"PTC Therapeutics, Inc. Common Stock",$38.16,-0.01,-0.026%,"2,784,815,065"
FWRD,Forward Air Corporation Common Stock,$104.70,-0.19,-0.181%,"2,783,941,276"
FLNC,"Fluence Energy, Inc. Class A Common Stock",$16.21,-0.94,-5.481%,"2,777,043,140"
WSFS,WSFS Financial Corporation Common Stock,$45.02,-0.32,-0.706%,"2,772,637,646"
CCOI,"Cogent Communications Holdings, Inc.",$57.74,0.66,1.156%,"2,772,099,825"
GH,"Guardant Health, Inc. Common Stock",$27.00,-0.20,-0.735%,"2,765,776,563"
SHLS,"Shoals Technologies Group, Inc. Class A Common Stock",$23.94,-0.73,-2.959%,"2,765,270,186"
PRTA,Prothena Corporation plc Ordinary Shares,$53.50,-6.75,-11.203%,"2,762,021,281"
PTON,"Peloton Interactive, Inc. Class A Common Stock",$8.12,0.18,2.267%,"2,761,237,839"
SFNC,Simmons First National Corporation Class A Common Stock,$21.57,-0.01,-0.046%,"2,738,735,307"
AMED,Amedisys Inc Common Stock,$83.87,0.33,0.395%,"2,725,103,034"
CALM,"Cal-Maine Foods, Inc. Common Stock",$55.49,1.04,1.91%,"2,715,133,968"
ABCL,AbCellera Biologics Inc. Common Shares,$9.49,-0.64,-6.318%,"2,715,093,052"
PDCO,"Patterson Companies, Inc. Common Stock",$27.87,-0.16,-0.571%,"2,705,285,160"
ISEE,"IVERIC bio, Inc. Common Stock",$20.12,-1.29,-6.025%,"2,697,544,776"
MRTX,"Mirati Therapeutics, Inc. Common Stock",$46.65,1.34,2.957%,"2,686,427,999"
OLK,Olink Holding AB (publ) American Depositary Shares,$22.49,-2.89,-11.387%,"2,678,516,674"
PACW,PacWest Bancorp Common Stock,$22.67,-0.28,-1.22%,"2,670,711,191"
HELE,Helen of Troy Limited Common Stock,$110.78,-0.13,-0.117%,"2,657,620,398"
IMCR,Immunocore Holdings plc American Depositary Shares,$55.42,-1.65,-2.891%,"2,654,892,828"
BMBL,Bumble Inc. Class A Common Stock,$20.44,-0.61,-2.898%,"2,650,596,592"
VRNS,"Varonis Systems, Inc. Common Stock",$24.035,0.095,0.397%,"2,649,139,647"
STNE,StoneCo Ltd. Class A Common Shares,$8.47,-0.97,-10.275%,"2,647,829,976"
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$16.32,0.40,2.513%,"2,642,713,822"
AFRM,"Affirm Holdings, Inc. Class A Common Stock",$9.10,-0.57,-5.895%,"2,640,365,573"
AUB,Atlantic Union Bankshares Corporation Common Stock,$35.21,0.07,0.199%,"2,630,592,161"
BEAM,Beam Therapeutics Inc. Common Stock,$37.32,-1.79,-4.577%,"2,629,901,625"
SGML,Sigma Lithium Corporation Common Shares,$25.37,-2.85,-10.099%,"2,625,795,000"
HPK,"HighPeak Energy, Inc. Common Stock",$23.17,0.30,1.312%,"2,621,982,702"
FLYW,Flywire Corporation Voting Common Stock,$23.93,-0.54,-2.207%,"2,608,357,915"
AHCO,AdaptHealth Corp. Common Stock,$19.34,0.12,0.624%,"2,605,710,401"
DORM,"Dorman Products, Inc. Common Stock",$82.83,1.96,2.424%,"2,602,400,567"
MEOH,Methanex Corporation Common Stock,$37.14,-0.72,-1.902%,"2,598,820,990"
