Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$73,839,582,717",1.65%,0,0,0,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$72,553,257,972",0.62%,0,0,0,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$72,482,922,318",1.55%,0,0,0,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$72,134,487,967",1.35%,0,0,0,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$71,843,369,761",0.00%,0,0,0,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$71,329,855,028",1.95%,0,0,0,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$70,844,792,208",2.89%,0,0,0,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$70,024,657,399",3.55%,0,0,0,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$69,959,215,519",1.09%,0,0,0,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$69,720,382,061",0.62%,0,0,0,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$68,088,070,827",2.20%,0,0,0,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$67,815,232,165",1.96%,0,0,0,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$67,436,499,467",1.64%,0,0,0,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$67,283,258,574",1.57%,0,0,0,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$67,193,616,220",1.46%,0,0,0,Analyze
